1851_recid,JR_1861_recid,PLD_1861_recid
9962974,10889589,10896581
14041080,15628429,15498896
13461094,14912643,14916929
13767671,15821168,15378267
13569160,15121433,14876209
14600397,16219430,16206687
13253000,14670085,14630423
12171342,13066609,13322749
13435801,14901074,14761929
13205242,14658544,14644704
12479085,13776188,14768128
13221264,14637273,14625854
13955567,15522586,15542204
12440114,14201492,13678433
13753633,17316282,15857600
13246484,14691015,14689306
13048294,14585044,14357799
13115925,14538056,14290601
13252238,14702810,14695661
13190473,14658019,14645546
13459842,14913328,14982056
13925880,15500279,16677778
13106514,14544558,14538448
5427529,5954266,5949950
7982826,8547696,11030312
12504738,14735960,15707034
13415948,14988177,14775202
12506169,13740098,13730364
13419778,14943722,14774327
11457058,12477070,12462483
14204083,15797865,15866285
12566581,13828500,13825130
8975530,9662266,13338809
12946725,13448963,13461134
13247410,14693557,14658658
9942243,11226650,10843828
1653650,15868219,13666231
14292232,15649970,15663644
13210656,14453987,14642369
11468071,14382881,12458835
12384801,14877118,14736735
13423450,14906604,14921120
13960266,15526439,15526015
14222579,15470522,15468934
13482596,14978783,14976056
14040711,15623189,15623193
14365945,16173157,15936721
12503990,13744126,13747180
5446701,5970286,5970211
10880752,11819505,11817414
14632668,16254030,16253404
9993878,10893018,10893511
13504313,15005828,15005756
14603604,16226796,16217225
13923161,15489785,15496835
1449575,1510685,1510688
13428684,14907667,14907256
1319673,1511959,1351388
16257489,18241013,18241010
3809343,4218424,4221343
15423238,17209006,17208997
13518987,15012331,15121859
14556840,16166538,16166228
13240929,14687252,14685484
14159011,15741014,15663609
13169168,14597135,14594151
12769727,14122149,14293808
14325267,15872894,15872761
11108803,10587075,12106785
14396748,15979401,15965468
13635967,15155375,15149826
11328970,12357832,12310351
11492631,12500195,12500089
13915932,15490106,15488749
16284134,18268742,18268267
13498099,14997797,14987896
13233903,14693400,14669128
13942034,15511439,15511441
11352100,14388368,12355183
13964446,16404269,15532558
12636632,14045480,13824956
13761286,15287973,11664473
12572361,13827038,13823457
9942612,10844292,10844247
12259674,13463792,13427700
14040456,15622716,15622602
5521526,6074910,6066426
13294421,14754330,14759031
14109522,16233693,15689994
14609606,16224836,16225445
13156016,14517930,14582333
1445252,1562494,1509762
14209560,15449164,15447038
13440529,14906453,14906713
14207756,15446823,15447280
11351364,12358046,12355229
14357937,15907053,15907543
13486799,14983371,14983373
14040664,15623291,15621019
13951173,15519456,15519412
1418009,1525807,1511932
13505546,15089791,15005371
14262820,15445769,15444466
9991504,10898527,10903193
12316244,13561980,13559610
13553905,15115570,15115567
11357180,14487238,12367648
16287193,18271178,18270947
14588910,16197903,16197051
11587796,12610276,12610234
13117263,14356656,14268991
12321621,13569617,13568003
14210046,15448411,15442493
13925110,15499189,15499338
12359874,13475016,13605974
1420885,1531650,1461269
13737915,15266757,15266752
12554845,13812602,13808477
13291839,14755091,14755847
13494347,14994620,14994152
13512818,15019638,14580963
13410772,14880035,14883317
13752185,15714668,15280732
13494042,14993368,14993127
13290908,14757368,14754474
12317146,13560833,13565708
12986453,14358060,14357942
13093727,14438555,12606593
13499945,14999574,15001731
13483902,14981340,14965654
13461536,14912269,14940824
13992598,15562199,15561992
13906949,15479552,15484957
12320311,14025630,13560671
13297891,14752280,14751293
13181092,14606511,14610417
13361317,14787546,14836369
14263132,15413731,15441362
13901938,14710140,15461815
14118006,15665835,15658160
13613728,15131521,15129528
14034482,15508582,15504424
13467179,14959288,14771891
13847171,15391361,15391357
14029543,15550559,15573445
11411301,14216695,12421659
11454814,12399011,12465561
12444377,13695006,13645517
13751199,15280945,15279946
13154256,14580773,14597000
13359411,14819050,14846789
13920295,15493584,15489847
12352055,13603414,13602824
13438779,14933429,14926672
12394489,13540347,13527345
13185510,14611982,14615466
5453909,5977996,5978542
13103061,14494027,12317214
14037405,15612265,15619507
12496786,13782988,13727200
13275033,14727526,14545494
13751738,15280732,15280633
13366712,14833193,14831003
13106643,14551260,14538322
11371972,12382990,12376306
14209550,15449349,15447949
13915934,15488828,15488744
13499357,14998848,14998836
12502160,14638402,14683713
14599784,16249669,16219003
13594380,15042573,15058068
13487930,14985071,14888723
12271243,13481045,13480937
13460818,14977072,14969632
12554594,12374435,12411776
16249243,18233224,12704737
16205615,18186313,18186768
11471858,12483912,12463342
14216015,15455319,15455105
12220059,13387276,13380259
13454859,14935172,14934600
13292872,14758821,14752845
13453110,14934464,14942433
13502167,14999774,15001574
12384909,13643073,13641338
13981485,15549321,15529228
13293016,14754387,14734967
14040958,15623417,15621766
13394465,14805471,14731893
13452997,14959848,14941717
13482072,14977743,14964491
13631095,15150349,13368285
13360290,14848296,14823061
11521105,12539811,12539857
11308407,12324004,12316556
13254625,14702955,14701292
13232435,14510329,14610188
12321664,13569769,13574920
12406306,13540096,13520453
11309194,12327014,12327841
9939935,10842042,10842088
14219155,15456855,15456016
13359115,14847317,14300761
13924663,15498923,15497665
13875359,15291016,15290590
13358124,14847630,14846783
11434853,12443353,12442535
9037873,9736971,9728599
14040454,15622714,15621514
14352703,15904652,15865456
13185880,14613369,14614115
13493723,15001304,14993178
13290966,14757970,14753025
13256334,14746974,14670116
13880119,15423481,15440039
11323025,12330000,12328773
13598385,15122111,15044753
12252483,13434634,13425260
13471482,14957839,14942710
13857797,15377939,15378442
9940011,10841511,10845574
14112166,15695630,15628753
14403151,15396224,15988826
13491850,14990804,14971406
13187120,14912648,14912741
12912850,14287868,12239616
13991645,15561147,15559742
13453555,14910456,14893278
13964562,15526341,16398053
13439051,14921728,14903279
13484131,14981128,14913906
14754241,16403870,15547259
13161337,14589155,14589433
12379683,15108458,15109623
11588952,12616732,12613611
13192069,14383907,14620387
13118909,14530842,14358070
13505618,15005738,15004093
14557358,16168858,16168104
12321802,13569627,13485108
12243808,13414709,13414906
13579016,15046768,15093248
14222944,14699327,15461666
13461006,14911049,14896468
13530144,15032126,15008477
12552387,13815954,13811855
12334127,13579124,13568964
13343602,14856400,14856246
13629417,15147760,15147729
13956541,15525121,15525113
13920170,15495083,15483644
13910169,15483644,15483570
8975103,9652412,9669367
16400369,18398254,18392217
3214616,1509751,1484671
13598315,15111597,15044778
13501102,15001688,14971277
13185264,14616482,14616475
13607351,15124440,15021771
13208402,14659025,14676571
9993861,10894302,10870516
14723126,16358408,16358403
13171869,14608647,14508622
13929784,15503692,15503642
14037898,15619705,15498577
13358527,14846835,14805257
13758132,15285324,15284632
13342460,15279376,14853631
13479220,14925135,14928119
13471231,14958119,14957671
13500014,15001018,15001035
11590693,12616694,12612199
14731886,16360590,14503325
13162618,14590738,14587286
13169760,14594835,14597512
13757735,15285162,15285121
11364631,12390072,12383442
13217827,14685669,14661316
13420608,14993234,14973290
13144849,14561194,14572370
9939992,10841242,10845106
14269727,15926534,15907986
9968988,10873392,10870820
11467389,12480351,12471963
13527143,15034529,15034320
14631919,16253798,16252732
13568830,15089090,15050449
13925247,15499277,15497605
13494036,14993080,14993364
9399529,10164568,10164552
13837336,15385787,15386994
13162827,14591102,14590459
14303466,15844637,15379199
12488205,13787608,13787606
13438645,14988516,14890716
12323419,14287655,13570202
13380192,14867156,14862878
13323405,14814792,14807868
13504052,15005521,13646148
13953194,15520970,15520694
13487038,14984241,14978136
9989775,10876897,10863265
13294243,14759649,14745751
13433228,14937737,14862126
13024978,14488918,14488917
13073434,14473556,14454673
13846570,15389421,15392499
13426777,14903228,14903227
13925539,15499348,15499531
14360630,15929184,15832703
12524305,13775104,13780554
9971416,10863531,10878077
5531049,6074917,760387
9974884,10969903,10869725
7795075,8377831,8385070
13493455,14992908,14992737
7826097,8413184,420386
9932719,10834143,10832913
13170357,14597338,14597995
13401832,14826846,14826845
13497593,14997524,14997521
12539302,14754798,13746700
1440513,1535901,1221150
13396701,14813541,14800636
13217564,14698842,13735390
13297443,14752672,14752558
13333439,13781281,14821427
13285721,14747587,14747586
13308077,14775024,14753523
13334339,14823033,14821642
13345747,14800299,14832385
13407496,14877567,14960064
14346508,15898458,15693842
13488736,14984390,14979392
14313190,16748418,16165921
13741835,15269864,15269678
14136536,15721254,15445038
5510871,6054311,6054309
13348542,14838067,14836618
13472523,14956682,14956320
13966845,15579956,15533752
13904897,15465016,15464204
14110589,15690047,15689673
13377774,14866598,14866596
13998498,15630328,15567233
13354184,14338276,15711266
11383412,12415565,12400287
11337358,12346429,12346155
13954176,15522346,15520538
1401735,1489939,1463217
13601002,15124886,15094370
13927361,15503450,15615497
13348891,14838622,14830596
12992509,14578863,14573168
12526874,13786839,13787028
13173174,14539147,14592700
13880128,15143851,15429622
14731579,16371947,16363089
13976333,15544081,15543685
13930323,15504236,15491855
12454348,13697029,13695993
11280204,14487928,12283948
13487117,14985045,14983693
13157748,14585146,14583085
13361280,14849452,14848939
9990600,10898390,10892565
5512469,6057102,6054217
4720395,5202842,5202288
13848749,15388729,15387070
13539135,15121263,15041885
13162874,14591065,14581455
9987310,10860869,10868973
11344592,14441584,12351279
12503283,13788047,13726271
9991916,10898424,10851177
13367859,14833298,14809164
13459513,14910113,14912623
13092063,14491640,12359305
9945749,10847386,10847110
14340939,15890617,15890361
12448909,13628094,13656402
13481073,14965958,14965105
12482752,13757744,13726186
13974615,16256959,15524440
12454545,13700691,13616180
14038034,15619989,15617793
14346787,15897643,15897613
14755856,16405201,15547973
12287586,13501693,13456385
1441204,1570702,1570701
12558761,12321503,13812032
11292440,12295585,12295262
12571026,13822970,13823769
13397873,14801786,14800318
6390267,6935643,6931692
13911933,15485207,14445615
13402194,14826751,15311121
13395241,14799261,14799259
12258734,13462432,13449847
12390534,13521223,13521220
13460853,14889275,14898936
13340308,14842833,14847628
10190666,11109394,11110933
13763123,15291767,15291762
13246904,14694067,14694071
12324844,13568238,13568236
13178905,14610326,14610325
13376801,14863338,14867210
13845706,15392500,15392245
16239901,7567371,18218976
13486786,14983912,14983906
12555262,13810895,13810892
13957075,15525227,15512198
14753044,15546371,16402566
13886659,15427106,15428217
13410376,14883485,13761745
11292600,12297026,12295566
1389087,1474170,1521913
13108710,14540819,14537892
13512912,15019721,15019716
13497745,15024376,14996731
13494218,15104981,15104980
13850263,15389100,15388407
16215929,18217911,18200092
13533730,15037574,15037572
13953974,15520251,15511868
12489134,14659114,13811575
13850748,15387170,15387816
14058393,15737013,15745762
13604546,14959910,15050024
13506655,15002494,15002492
9929704,10859505,10830073
13192571,14643243,14628813
5454292,5979513,5978716
9477632,10286614,10280054
9934241,10820404,10833399
13440650,14906775,14716273
13115465,14518080,14518077
9933357,10832827,10832786
13339692,14833938,14833937
13499269,14998747,14998746
13166581,14593768,14593767
9938267,10840320,10840213
9944218,10845770,10845744
9994324,10895169,10893870
13489297,14988198,14988197
9948408,10899780,10851327
10161789,11081645,11081395
14340332,15889694,12806290
10189822,11110210,11110821
13373448,14870121,14869398
13228177,14678792,14620801
11435961,12447537,12447532
11441955,12453439,12452964
14340544,15722847,15889694
12419327,13328270,13699484
12400229,13536596,13532279
12328215,13573744,13571269
13276702,14738009,14716498
12331477,13578761,13578115
13489295,14988197,14981456
12351219,13602073,13602086
13358155,15281361,14834206
14190592,15774659,15422651
13360792,14848655,14798298
12506987,13746420,13751562
14298729,15924568,15260856
13471160,14958982,14954653
13902718,15465941,14642638
13291221,14758239,14727513
13379590,14865689,13580718
14059631,15639366,15739531
14280203,15823856,15214065
13987658,15556116,12246312
13487040,14989196,14983678
14214866,15453587,13780966
14342509,15892005,15856762
13925293,15628889,15497857
14337290,15888430,15887896
13899301,15459148,15458982
13883529,15415174,15291502
11395725,12411743,12372738
12406508,13881023,13580910
14216477,15720149,15453726
13897525,15429378,14743350
14016076,15566676,15590861
13339384,14833668,14830064
13883004,15442145,15422457
13360333,14848944,14848598
13583273,15103655,15075237
12572306,13826835,13826824
13308580,14764693,14763682
13456473,14934533,14915837
4713834,5194065,5193065
13969548,15538077,15537062
13322849,14802016,14787029
13858444,15378660,15378382
13447069,14925380,14896631
13572070,15093264,15096241
13199639,14627136,13747458
13614746,15131656,15131588
13353528,14836761,14165793
9928605,10830685,10829111
9948061,10850367,10850366
14341008,15890679,15729302
13413982,14887006,14769639
16255173,18238755,17062791
13566246,15077472,15052718
13317112,14799226,14785335
13925296,15499108,15498589
13290120,14753748,14752940
14319035,15719554,15884398
14037126,15618681,15619311
12535498,13787742,13793284
11409381,12314921,12417330
13352882,14844471,14805365
13609954,15126558,15049146
13429057,14907564,14907563
12298315,13557263,13515989
14213846,15708169,15714436
12360408,13609051,13225639
12589763,13853427,13828460
14573125,16185160,16239303
14556900,16166045,15790463
13276241,14738543,14738302
13491276,14979892,14954404
13296498,14759789,14754793
13503092,15002676,15020005
6381091,6919817,6919566
13497527,15025690,14995663
14564111,16168617,16167982
12987378,14358857,14358659
14030760,15612351,15555055
12406670,13540520,13527954
12550903,13732420,13808033
13277532,14739559,14740720
13270873,14711978,14717654
13186519,14616857,14579994
12986507,14358155,14360079
12386170,15009795,13663100
9993723,10892811,10880101
13237424,14681598,14618956
12535874,13788233,13783991
13163047,14594085,14591267
13422680,14941457,14918470
12573515,13824860,13827514
13490951,14989629,14968820
13293256,14753493,14753273
11471915,12483984,12402970
12588647,13854153,13847129
12524247,13775158,13769633
12541918,13791270,13792510
11454269,12466883,12452704
13299651,14769155,14762305
13485668,14982541,14976340
12384908,13643072,13636998
12220821,13382851,13379638
12987563,14358697,14358668
13494009,14993369,14964962
13925260,15499186,12326163
14563425,16168090,16166821
13357940,14846474,14836819
13431018,14972989,14910570
13461106,14913118,14818288
14035145,15617004,15616599
14033806,15614924,15503665
13763342,15291656,15291821
14038269,15620235,15503963
13438617,14949286,14937501
11323887,12330841,12330670
13014537,14414571,14148456
12375532,13630729,13630749
13548150,15038946,15110497
13479404,14978454,14868106
13324270,14810765,14820824
13947930,16170146,15515404
11414799,12404436,12421319
13538290,15122957,19172925
13360608,14848606,14845640
13461410,14910658,14955533
13488951,14986641,14986642
13588479,15101259,15106296
13251949,14699690,14591886
12552128,13815270,13815269
13543163,15046081,14977333
12337632,13585267,13584549
14361461,15930293,15930292
14342829,15891868,15889207
13618291,15135518,14627940
13578792,15078271,15094870
13333893,14776119,13451557
13904384,15464810,15461837
13498225,14997666,14997522
9939934,10842041,10842087
13212605,14651816,14617825
11449514,12458837,12434885
13533600,15038419,14943744
13401689,14827269,14826435
13390936,14870351,14870350
4712806,5198402,5194717
13294037,14756430,14754574
9944583,10846481,10846477
12566987,13821196,13821080
9990238,10901117,10900116
13570541,14924787,15047077
13145345,14563795,15497410
11293405,12294692,12295397
13484092,14992717,14968682
13491710,14990597,14970300
13428190,14943378,14917431
13347029,14837165,14835068
12220065,13380282,13400154
13919327,15492432,14564563
13477006,14971565,14965295
13159062,14584075,14550896
11292429,12296822,12296471
11422676,12435298,12435024
11457715,12488647,12460552
12322562,13566517,13570029
12337173,13606592,13584498
1429736,1487294,1524219
9984625,10887554,19581722
13294870,14759743,14756543
9946479,10850862,10890976
13870390,15413506,15851203
1389809,1487827,1525805
1403105,1492368,1484841
1390068,1519712,1518626
13263904,14722489,14721650
1419479,1526322,1514411
